customer_id,gender,senior_citizen,is_senior,partner,dependents,tenure,tenure_group,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,charge_group,total_charges,churn,churn_flag,monthly_revenue_at_risk,annual_revenue_at_risk
9489-DEDVP,Female,0,Non-Senior,Yes,Yes,70,49+ Months,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,Medium Charge,4872.35,No,0,0.0,0.0
9867-JCZSP,Female,0,Non-Senior,Yes,Yes,17,13-24 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,Low Charge,418.25,No,0,0.0,0.0
4671-VJLCL,Female,0,Non-Senior,No,No,63,49+ Months,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,High Charge,4861.45,No,0,0.0,0.0
4080-IIARD,Female,0,Non-Senior,Yes,No,13,13-24 Months,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,High Charge,981.45,No,0,0.0,0.0
3714-NTNFO,Female,0,Non-Senior,No,No,49,49+ Months,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,High Charge,3906.7,No,0,0.0,0.0
5948-UJZLF,Male,0,Non-Senior,No,No,2,0-6 Months,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,Medium Charge,97.0,No,0,0.0,0.0
7760-OYPDY,Female,0,Non-Senior,No,No,2,0-6 Months,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,High Charge,144.15,Yes,1,80.65,967.8000000000001
7639-LIAYI,Male,0,Non-Senior,No,No,52,49+ Months,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,High Charge,4217.8,No,0,0.0,0.0
2954-PIBKO,Female,0,Non-Senior,Yes,Yes,69,49+ Months,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,Medium Charge,4254.1,No,0,0.0,0.0
8012-SOUDQ,Female,1,Senior,No,No,43,25-48 Months,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,High Charge,3838.75,No,0,0.0,0.0
9420-LOJKX,Female,0,Non-Senior,No,No,15,13-24 Months,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,High Charge,1426.4,Yes,1,99.1,1189.1999999999998
6575-SUVOI,Female,1,Senior,Yes,No,25,25-48 Months,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,Medium Charge,1752.65,No,0,0.0,0.0
7495-OOKFY,Female,1,Senior,Yes,No,8,7-12 Months,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,High Charge,633.3,Yes,1,80.65,967.8000000000001
4667-QONEA,Female,1,Senior,Yes,Yes,60,49+ Months,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,High Charge,4456.35,No,0,0.0,0.0
1658-BYGOY,Male,1,Senior,No,No,18,13-24 Months,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,High Charge,1752.55,Yes,1,95.45,1145.4
8769-KKTPH,Female,0,Non-Senior,Yes,Yes,63,49+ Months,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,High Charge,6311.2,No,0,0.0,0.0
5067-XJQFU,Male,1,Senior,Yes,Yes,66,49+ Months,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,High Charge,7076.35,No,0,0.0,0.0
3957-SQXML,Female,0,Non-Senior,Yes,Yes,34,25-48 Months,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,Low Charge,894.3,No,0,0.0,0.0
5954-BDFSG,Female,0,Non-Senior,No,No,72,49+ Months,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,High Charge,7853.7,No,0,0.0,0.0
0434-CSFON,Female,0,Non-Senior,Yes,No,47,25-48 Months,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,High Charge,4707.1,No,0,0.0,0.0
1215-FIGMP,Male,0,Non-Senior,No,No,60,49+ Months,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,High Charge,5450.7,No,0,0.0,0.0
0526-SXDJP,Male,0,Non-Senior,Yes,No,72,49+ Months,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,Medium Charge,2962.0,No,0,0.0,0.0
0557-ASKVU,Female,0,Non-Senior,Yes,Yes,18,13-24 Months,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,Medium Charge,957.1,No,0,0.0,0.0
5698-BQJOH,Female,0,Non-Senior,No,No,9,7-12 Months,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,High Charge,857.25,Yes,1,94.4,1132.8000000000002
5122-CYFXA,Female,0,Non-Senior,No,No,3,0-6 Months,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,High Charge,244.1,No,0,0.0,0.0
8627-ZYGSZ,Male,0,Non-Senior,Yes,No,47,25-48 Months,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,High Charge,3650.35,No,0,0.0,0.0
3410-YOQBQ,Female,0,Non-Senior,No,No,31,25-48 Months,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,High Charge,2497.2,No,0,0.0,0.0
3170-NMYVV,Female,0,Non-Senior,Yes,Yes,50,49+ Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,Low Charge,930.9,No,0,0.0,0.0
7410-OIEDU,Male,0,Non-Senior,No,No,10,7-12 Months,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,High Charge,887.35,No,0,0.0,0.0
2273-QCKXA,Male,0,Non-Senior,No,No,1,0-6 Months,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,Medium Charge,49.05,No,0,0.0,0.0
0731-EBJQB,Female,0,Non-Senior,Yes,Yes,52,49+ Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,Low Charge,1090.65,No,0,0.0,0.0
1891-QRQSA,Male,1,Senior,Yes,Yes,64,49+ Months,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,High Charge,7099.0,No,0,0.0,0.0
8028-PNXHQ,Male,0,Non-Senior,Yes,Yes,62,49+ Months,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,Low Charge,1424.6,No,0,0.0,0.0
5630-AHZIL,Female,0,Non-Senior,No,Yes,3,0-6 Months,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,Medium Charge,177.4,No,0,0.0,0.0
2673-CXQEU,Female,1,Senior,No,No,56,49+ Months,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,High Charge,6139.5,No,0,0.0,0.0
6416-JNVRK,Female,0,Non-Senior,No,No,46,25-48 Months,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,Medium Charge,2688.85,No,0,0.0,0.0
5590-ZSKRV,Female,0,Non-Senior,Yes,Yes,8,7-12 Months,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,Medium Charge,482.25,No,0,0.0,0.0
0191-ZHSKZ,Male,1,Senior,No,No,30,25-48 Months,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,High Charge,2111.3,No,0,0.0,0.0
3887-PBQAO,Female,0,Non-Senior,Yes,Yes,45,25-48 Months,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,Low Charge,1216.6,No,0,0.0,0.0
5919-TMRGD,Female,0,Non-Senior,No,Yes,1,0-6 Months,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,High Charge,79.35,Yes,1,79.35,952.1999999999999
8108-UXRQN,Female,0,Non-Senior,Yes,Yes,11,7-12 Months,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,Medium Charge,565.35,No,0,0.0,0.0
9191-MYQKX,Female,0,Non-Senior,Yes,No,7,7-12 Months,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,High Charge,496.9,Yes,1,75.15,901.8000000000001
9919-YLNNG,Female,0,Non-Senior,No,No,42,25-48 Months,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,High Charge,4327.5,No,0,0.0,0.0
0318-ZOPWS,Female,0,Non-Senior,Yes,No,49,49+ Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,Low Charge,973.35,No,0,0.0,0.0
4445-ZJNMU,Male,0,Non-Senior,No,No,9,7-12 Months,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,High Charge,918.75,No,0,0.0,0.0
4808-YNLEU,Female,0,Non-Senior,Yes,No,35,25-48 Months,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,Medium Charge,2215.45,No,0,0.0,0.0
1862-QRWPE,Female,0,Non-Senior,Yes,Yes,48,25-48 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,Low Charge,1057.0,No,0,0.0,0.0
2796-NNUFI,Female,0,Non-Senior,Yes,Yes,46,25-48 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,Low Charge,927.1,No,0,0.0,0.0
3016-KSVCP,Male,0,Non-Senior,Yes,No,29,25-48 Months,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,Low Charge,1009.25,No,0,0.0,0.0
4767-HZZHQ,Male,0,Non-Senior,Yes,Yes,30,25-48 Months,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,High Charge,2570.2,No,0,0.0,0.0
2424-WVHPL,Male,1,Senior,No,No,1,0-6 Months,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,High Charge,74.7,No,0,0.0,0.0
7233-PAHHL,Male,0,Non-Senior,Yes,Yes,66,49+ Months,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,High Charge,5714.25,No,0,0.0,0.0
6067-NGCEU,Female,0,Non-Senior,No,No,65,49+ Months,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,High Charge,7107.0,No,0,0.0,0.0
9848-JQJTX,Male,0,Non-Senior,No,No,72,49+ Months,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,High Charge,7459.05,No,0,0.0,0.0
8637-XJIVR,Female,0,Non-Senior,No,No,12,7-12 Months,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,High Charge,927.35,Yes,1,78.95,947.4000000000001
9803-FTJCG,Male,0,Non-Senior,Yes,Yes,71,49+ Months,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,Medium Charge,4748.7,No,0,0.0,0.0
0278-YXOOG,Male,0,Non-Senior,No,No,5,0-6 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,Low Charge,113.85,Yes,1,21.05,252.60000000000002
3212-KXOCR,Male,0,Non-Senior,No,No,52,49+ Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,Low Charge,1107.2,No,0,0.0,0.0
4598-XLKNJ,Female,1,Senior,Yes,No,25,25-48 Months,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,High Charge,2514.5,Yes,1,98.5,1182.0
6380-ARCEH,Male,0,Non-Senior,No,No,1,0-6 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,Low Charge,20.2,No,0,0.0,0.0
3679-XASPY,Female,0,Non-Senior,Yes,Yes,1,0-6 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,Low Charge,19.45,No,0,0.0,0.0
7123-WQUHX,Male,0,Non-Senior,No,No,38,25-48 Months,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,High Charge,3605.6,No,0,0.0,0.0
5386-THSLQ,Female,1,Senior,Yes,No,66,49+ Months,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,Medium Charge,3027.25,No,0,0.0,0.0
3192-NQECA,Male,0,Non-Senior,Yes,No,68,49+ Months,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,High Charge,7611.85,Yes,1,110.0,1320.0
6180-YBIQI,Male,0,Non-Senior,No,No,5,0-6 Months,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,Low Charge,100.2,No,0,0.0,0.0
6728-DKUCO,Female,0,Non-Senior,Yes,Yes,72,49+ Months,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,High Charge,7303.05,No,0,0.0,0.0
9750-BOOHV,Female,0,Non-Senior,No,No,32,25-48 Months,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,Low Charge,927.65,No,0,0.0,0.0
8597-CWYHH,Male,0,Non-Senior,No,No,43,25-48 Months,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,High Charge,3921.3,No,0,0.0,0.0
2848-YXSMW,Male,0,Non-Senior,Yes,Yes,72,49+ Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,Low Charge,1363.25,No,0,0.0,0.0
0486-HECZI,Male,0,Non-Senior,Yes,No,55,49+ Months,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,High Charge,5238.9,Yes,1,96.75,1161.0
4549-ZDQYY,Female,0,Non-Senior,No,No,52,49+ Months,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,Medium Charge,3042.25,No,0,0.0,0.0
5712-AHQNN,Female,0,Non-Senior,No,No,43,25-48 Months,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,High Charge,3954.1,No,0,0.0,0.0
4846-WHAFZ,Female,1,Senior,Yes,No,37,25-48 Months,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,High Charge,2868.15,Yes,1,76.5,918.0
5256-SKJGO,Female,0,Non-Senior,Yes,Yes,64,49+ Months,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,Medium Charge,3423.5,No,0,0.0,0.0
3071-VBYPO,Male,0,Non-Senior,Yes,Yes,3,0-6 Months,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,High Charge,248.4,No,0,0.0,0.0
9560-BBZXK,Female,0,Non-Senior,No,No,36,25-48 Months,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,Low Charge,1126.35,No,0,0.0,0.0
5299-RULOA,Female,0,Non-Senior,Yes,Yes,10,7-12 Months,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,High Charge,1064.65,Yes,1,100.25,1203.0
8402-OOOHJ,Female,0,Non-Senior,No,No,41,25-48 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,Low Charge,835.15,No,0,0.0,0.0
9445-ZUEQE,Male,0,Non-Senior,Yes,Yes,27,25-48 Months,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,High Charge,2151.6,No,0,0.0,0.0
1091-SOZGA,Female,0,Non-Senior,Yes,Yes,56,49+ Months,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,High Charge,5515.45,No,0,0.0,0.0
2928-HLDBA,Female,0,Non-Senior,No,No,6,0-6 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,Low Charge,112.75,No,0,0.0,0.0
0404-SWRVG,Male,0,Non-Senior,No,No,3,0-6 Months,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,High Charge,229.55,Yes,1,74.4,892.8000000000001
